epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.09918,0.59265,0.82418,1,0.43859,0.00048343,0.00048343,0.00048343
2,9.95849,0.40979,0.86813,1,0.33627,0.000886161,0.000886161,0.000886161
3,14.8744,0.34312,0.87912,1,0.40962,0.00118987,0.00118987,0.00118987
4,19.6191,0.29176,0.83516,1,0.43343,0.0011719,0.0011719,0.0011719
5,24.2663,0.26718,0.86813,1,0.37841,0.00100687,0.00100687,0.00100687
6,29.0893,0.26082,0.89011,1,0.44839,0.000841835,0.000841835,0.000841835
7,33.7767,0.27506,0.86813,1,0.40164,0.000676802,0.000676802,0.000676802
8,38.5336,0.19995,0.87912,1,0.46318,0.000511769,0.000511769,0.000511769
9,43.2055,0.20712,0.87912,1,0.44454,0.000346736,0.000346736,0.000346736
10,47.9018,0.16085,0.87912,1,0.45973,0.000181703,0.000181703,0.000181703
